UA-Ange: 0, ForearmStretched: 200, Forearm: 79, LeftArm? Yes
Time, EMG-Signal, Force-Value, Elbow-Angle, Transformed-Angle, MotorTarget
27.33111, 532, 422, 199, -0.7438017, 0
27.35085, 538, 422, 200, 0, 0
27.36795, 535, 422, 200, 0, 0
27.38888, 526, 422, 201, 0.7438017, 0
27.40961, 518, 422, 200, 0, 0
27.43017, 505, 422, 201, 0.7438017, 0
27.44975, 488, 422, 200, 0, 0
27.46952, 472, 422, 200, 0, 0
27.48643, 454, 422, 200, 0, 0
27.50629, 433, 422, 200, 0, 0
27.52924, 413, 422, 200, 0, 0
27.54954, 392, 423, 200, 0, 0
27.56789, 372, 422, 200, 0, 0
27.58888, 349, 422, 200, 0, 0
27.60763, 323, 422, 200, 0, 0
27.62434, 304, 422, 200, 0, 0
27.64498, 280, 422, 200, 0, 0
27.66503, 253, 423, 200, 0, 0
27.68687, 231, 422, 200, 0, 0
27.70765, 212, 422, 200, 0, 0
27.73061, 191, 422, 200, 0, 0
27.74577, 169, 422, 200, 0, 0
27.76471, 149, 423, 200, 0, 0
27.78494, 132, 423, 200, 0, 180
27.80521, 109, 429, 176, -17.85124, 180
27.82601, 91, 435, 170, -22.31405, 180
27.84726, 71, 439, 167, -24.54545, 180
27.865, 63, 440, 168, -23.80165, 180
27.88364, 71, 444, 173, -20.08265, 180
27.90241, 88, 450, 186, -10.41322, 180
27.9243, 112, 444, 196, -2.975207, 180
27.94561, 137, 445, 205, 3.719008, 180
27.96391, 159, 443, 215, 11.15702, 180
27.97997, 172, 445, 217, 12.64463, 180
28.00053, 184, 448, 216, 11.90083, 180
28.02238, 195, 450, 216, 11.90083, 180
28.04202, 209, 453, 216, 11.90083, 180
28.06428, 230, 455, 217, 12.64463, 180
28.08429, 256, 456, 219, 14.13223, 180
28.10027, 286, 458, 220, 14.87603, 0
28.11919, 284, 468, 186, -10.41322, 0
28.14104, 289, 469, 155, -33.47107, 0
28.16637, 298, 465, 149, -37.93388, 0
28.18089, 296, 457, 146, -40.16529, 0
28.20142, 279, 455, 137, -46.8595, 0
28.2217, 248, 450, 131, -51.32232, 0
28.23842, 201, 447, 125, -55.78513, 0
28.25932, 156, 443, 122, -58.01653, 0
28.27967, 128, 440, 123, -57.27273, 0
28.2995, 119, 435, 129, -52.80992, 180
28.31989, 136, 421, 186, -10.41322, 180
28.34026, 129, 437, 149, -37.93388, 180
